k Linear Matter Galaxy Monopole Quadrupole Hexadecapole
0.0008993066723187614 14461.808179640791 4509.093814980985 4786.319046031857 6814.662532613224 4266.122410053382 279.24480101998483
0.000920296680876041 14771.257537800973 4605.571530859869 4911.705647984717 6983.440934394006 4357.383215050341 285.2152959870942
0.0009417766006869519 15086.723636942132 4703.924614379685 5039.529689612964 7155.49896700205 4450.416226938092 291.3015156047204
0.0009637578663841089 15408.291402364554 4804.179489818067 5169.825525773118 7330.882878202229 4545.246333109537 297.5050658861762
0.0009862521794868784 15736.04567921466 4906.362556342419 5302.62747914526 7509.638925544895 4641.898424815507 303.8275528224136
0.0010092715146305707 16070.071172878168 5010.500169418986 5437.969816120167 7691.813376810488 4740.397397432846 310.27058251351383
0.0010328281259410286 16410.452387132646 5116.6186215228845 5575.886721766003 7877.452509855801 4840.7681503972935 316.83576099191674
0.0010569345535579883 16757.27356003076 5224.744122140696 5716.412273866079 8066.6026132575425 4943.035587255178 323.52469437164524
0.0010816036303107094 17110.618597488065 5334.902777056953 5859.580416048056 8259.309986303528 5047.224616022318 330.33898881737474
0.001106848488549412 17470.57100454968 5447.120566916888 6005.424929960669 8455.620939341785 5153.360149028599 337.28025049468715
0.0011326825671361539 17837.21358550404 5561.4232522300645 6153.979311843261 8655.581505032433 5261.4669435055885 344.35007447083234
0.0011591196185988858 18210.624890897383 5677.8352436080895 6305.275304045461 8859.233165057123 5371.567242499449 351.5498814752932
0.0011861737164524779 18590.879517952377 5796.379700330734 6459.343023180091 9066.61377293294 5483.681284027996 358.8809529632113
0.0012138592626906278 18978.050685779275 5917.079351546591 6616.212027658198 9277.761091932352 5597.829254885297 366.3445665034041
0.0012421909954526175 19372.210206381827 6039.956487759177 6775.911306660047 9492.712896564655 5714.031346055091 373.9419998256509
0.001271183996869029 19773.428374136063 6165.0329263717595 6938.469235433431 9711.506972568257 5832.3077532719 381.67453055324273
0.0013008537010905706 20181.773852284183 6292.329976301667 7103.9135293362015 9934.181117446673 5952.678676771776 389.5434363641589
0.0013312159025043078 20597.313556455392 6421.868401667829 7272.271196723327 10160.773140507305 6075.16432153294 397.5499950741677
0.0013622867641416468 21020.112535234257 6553.66838455777 7443.568490612995 10391.32086298674 6199.784897370686 405.6954844311923
0.0013940828262825771 21450.233847800002 6687.7494868817375 7617.830859177375 10625.862118507323 6326.560618985198 413.9811822299817
0.001426621015260737 21887.738183473153 6824.130528567151 7795.082787533472 10864.434079148343 6455.511334482675 422.4083407548158
